30.0 ,800.0 ,28.0 ,2.7 
30.0 ,800.0 ,31.0 ,3.2 
30.0 ,800.0 ,34.0 ,3.9 
30.0 ,800.0 ,37.0 ,2.7 
30.0 ,800.0 ,40.0 ,2.0 
30.0 ,800.0 ,43.0 ,3.8 
30.0 ,800.0 ,46.0 ,4.0 
30.0 ,800.0 ,49.0 ,2.4 
30.0 ,800.0 ,52.0 ,3.6 
30.0 ,800.0 ,55.0 ,3.8 
30.0 ,1100.0 ,4.0 ,1.6 
30.0 ,1100.0 ,7.0 ,2.0 
30.0 ,1100.0 ,10.0 ,2.1 
30.0 ,1100.0 ,13.0 ,2.9 
30.0 ,1100.0 ,16.0 ,4.6 
30.0 ,1100.0 ,19.0 ,4.6 
30.0 ,1100.0 ,22.0 ,2.4 
30.0 ,1100.0 ,25.0 ,2.7 
30.0 ,1100.0 ,28.0 ,3.2 
30.0 ,1100.0 ,31.0 ,3.9 
30.0 ,1100.0 ,34.0 ,2.7 
30.0 ,1100.0 ,37.0 ,2.0 
30.0 ,1100.0 ,40.0 ,3.8 
30.0 ,1100.0 ,43.0 ,4.0 
30.0 ,1100.0 ,46.0 ,2.4 
30.0 ,1100.0 ,49.0 ,3.6 
30.0 ,1100.0 ,52.0 ,3.8 
30.0 ,1400.0 ,4.0 ,2.0 
30.0 ,1400.0 ,7.0 ,2.1 
30.0 ,1400.0 ,10.0 ,2.9 
30.0 ,1400.0 ,13.0 ,4.6 
30.0 ,1400.0 ,16.0 ,4.6 
30.0 ,1400.0 ,19.0 ,2.4 
30.0 ,1400.0 ,22.0 ,2.7 
30.0 ,1400.0 ,25.0 ,3.2 
30.0 ,1400.0 ,28.0 ,3.9 
30.0 ,1400.0 ,31.0 ,2.7 
30.0 ,1400.0 ,34.0 ,2.0 
30.0 ,1400.0 ,37.0 ,3.8 
30.0 ,1400.0 ,40.0 ,4.0 
30.0 ,1400.0 ,43.0 ,2.4 
30.0 ,1400.0 ,46.0 ,3.6 
30.0 ,1400.0 ,49.0 ,3.8 
30.0 ,1700.0 ,4.0 ,2.1 
30.0 ,1700.0 ,7.0 ,2.9 
30.0 ,1700.0 ,10.0 ,4.6 
30.0 ,1700.0 ,13.0 ,4.6 
30.0 ,1700.0 ,16.0 ,2.4 
30.0 ,1700.0 ,19.0 ,2.7 
30.0 ,1700.0 ,22.0 ,3.2 
30.0 ,1700.0 ,25.0 ,3.9 
30.0 ,1700.0 ,28.0 ,2.7 
30.0 ,1700.0 ,31.0 ,2.0 
30.0 ,1700.0 ,34.0 ,3.8 
30.0 ,1700.0 ,37.0 ,4.0 
30.0 ,1700.0 ,40.0 ,2.4 
30.0 ,1700.0 ,43.0 ,3.6 
30.0 ,1700.0 ,46.0 ,3.8 
30.0 ,2000.0 ,4.0 ,2.9 
30.0 ,2000.0 ,7.0 ,4.8 
30.0 ,2000.0 ,10.0 ,5.1 
30.0 ,2000.0 ,13.0 ,3.0 
30.0 ,2000.0 ,16.0 ,3.1 
30.0 ,2000.0 ,19.0 ,2.8 
30.0 ,2000.0 ,22.0 ,2.9 
30.0 ,2000.0 ,25.0 ,3.8 
30.0 ,2000.0 ,28.0 ,3.1 
30.0 ,2000.0 ,31.0 ,3.8 
30.0 ,2000.0 ,34.0 ,5.2 
30.0 ,2000.0 ,37.0 ,2.5 
30.0 ,2000.0 ,40.0 ,3.3 
30.0 ,2000.0 ,43.0 ,4.4 
30.0 ,2000.0 ,46.0 ,4.0 
30.0 ,2000.0 ,49.0 ,4.2 
30.0 ,2000.0 ,52.0 ,4.9 
30.0 ,2000.0 ,55.0 ,6.1 
30.0 ,2000.0 ,58.0 ,6.6 
30.0 ,2000.0 ,61.0 ,3.5 
30.0 ,2000.0 ,64.0 ,2.0 
30.0 ,2000.0 ,67.0 ,1.2 
30.0 ,2300.0 ,4.0 ,4.8 
30.0 ,2300.0 ,7.0 ,5.1 
30.0 ,2300.0 ,10.0 ,3.0 
30.0 ,2300.0 ,13.0 ,3.1 
30.0 ,2300.0 ,16.0 ,2.8 
30.0 ,2300.0 ,19.0 ,2.9 
30.0 ,2300.0 ,22.0 ,3.8 
30.0 ,2300.0 ,25.0 ,3.1 
30.0 ,2300.0 ,28.0 ,3.8 
30.0 ,2300.0 ,31.0 ,5.2 
30.0 ,2300.0 ,34.0 ,2.5 
30.0 ,2300.0 ,37.0 ,3.3 
30.0 ,2300.0 ,40.0 ,4.4 
30.0 ,2300.0 ,43.0 ,4.0 
30.0 ,2300.0 ,46.0 ,4.2 
30.0 ,2300.0 ,49.0 ,4.9 
30.0 ,2300.0 ,52.0 ,6.1 
30.0 ,2300.0 ,55.0 ,6.6 
30.0 ,2300.0 ,58.0 ,3.5 
30.0 ,2300.0 ,61.0 ,2.0 
30.0 ,2300.0 ,64.0 ,1.2 
31.0 ,200.0 ,4.0 ,5.1 
31.0 ,200.0 ,7.0 ,3.0 
31.0 ,200.0 ,10.0 ,3.1 
31.0 ,200.0 ,13.0 ,2.8 
31.0 ,200.0 ,16.0 ,2.9 
31.0 ,200.0 ,19.0 ,3.8 
31.0 ,200.0 ,22.0 ,3.1 
31.0 ,200.0 ,25.0 ,3.8 
31.0 ,200.0 ,28.0 ,5.2 
31.0 ,200.0 ,31.0 ,2.5 
31.0 ,200.0 ,34.0 ,3.3 
31.0 ,200.0 ,37.0 ,4.4 
31.0 ,200.0 ,40.0 ,4.0 
31.0 ,200.0 ,43.0 ,4.2 
31.0 ,200.0 ,46.0 ,4.9 
31.0 ,200.0 ,49.0 ,6.1 
31.0 ,200.0 ,52.0 ,6.6 
31.0 ,200.0 ,55.0 ,3.5 
31.0 ,200.0 ,58.0 ,2.0 
31.0 ,200.0 ,61.0 ,1.2 
31.0 ,500.0 ,4.0 ,3.0 
31.0 ,500.0 ,7.0 ,3.1 
31.0 ,500.0 ,10.0 ,2.8 
31.0 ,500.0 ,13.0 ,2.9 
31.0 ,500.0 ,16.0 ,3.8 
31.0 ,500.0 ,19.0 ,3.1 
31.0 ,500.0 ,22.0 ,3.8 
31.0 ,500.0 ,25.0 ,5.2 
31.0 ,500.0 ,28.0 ,2.5 
31.0 ,500.0 ,31.0 ,3.3 
31.0 ,500.0 ,34.0 ,4.4 
31.0 ,500.0 ,37.0 ,4.0 
31.0 ,500.0 ,40.0 ,4.2 
31.0 ,500.0 ,43.0 ,4.9 
31.0 ,500.0 ,46.0 ,6.1 
31.0 ,500.0 ,49.0 ,6.6 
31.0 ,500.0 ,52.0 ,3.5 
31.0 ,500.0 ,55.0 ,2.0 
31.0 ,500.0 ,58.0 ,1.2 
31.0 ,800.0 ,4.0 ,3.6 
31.0 ,800.0 ,7.0 ,4.7 
31.0 ,800.0 ,10.0 ,4.8 
31.0 ,800.0 ,13.0 ,3.1 
31.0 ,800.0 ,16.0 ,2.4 
31.0 ,800.0 ,19.0 ,3.7 
31.0 ,800.0 ,22.0 ,4.7 
31.0 ,800.0 ,25.0 ,2.0 
31.0 ,800.0 ,28.0 ,2.9 
31.0 ,800.0 ,31.0 ,4.1 
31.0 ,800.0 ,34.0 ,4.4 
31.0 ,800.0 ,37.0 ,4.3 
31.0 ,800.0 ,40.0 ,5.0 
31.0 ,800.0 ,43.0 ,6.2 
31.0 ,800.0 ,46.0 ,6.6 
31.0 ,800.0 ,49.0 ,3.1 
31.0 ,800.0 ,52.0 ,1.4 
31.0 ,800.0 ,55.0 ,2.8 
31.0 ,1100.0 ,4.0 ,4.7 
31.0 ,1100.0 ,7.0 ,4.8 
31.0 ,1100.0 ,10.0 ,3.1 
31.0 ,1100.0 ,13.0 ,2.4 
31.0 ,1100.0 ,16.0 ,3.7 
31.0 ,1100.0 ,19.0 ,4.7 
31.0 ,1100.0 ,22.0 ,2.0 
31.0 ,1100.0 ,25.0 ,2.9 
31.0 ,1100.0 ,28.0 ,4.1 
31.0 ,1100.0 ,31.0 ,4.4 
31.0 ,1100.0 ,34.0 ,4.3 
31.0 ,1100.0 ,37.0 ,5.0 
31.0 ,1100.0 ,40.0 ,6.2 
31.0 ,1100.0 ,43.0 ,6.6 
31.0 ,1100.0 ,46.0 ,3.1 
31.0 ,1100.0 ,49.0 ,1.4 
31.0 ,1100.0 ,52.0 ,2.8 
31.0 ,1400.0 ,4.0 ,4.8 
31.0 ,1400.0 ,7.0 ,3.1 
31.0 ,1400.0 ,10.0 ,2.4 
31.0 ,1400.0 ,13.0 ,3.7 
31.0 ,1400.0 ,16.0 ,4.7 
31.0 ,1400.0 ,19.0 ,2.0 
31.0 ,1400.0 ,22.0 ,2.9 
31.0 ,1400.0 ,25.0 ,4.1 
31.0 ,1400.0 ,28.0 ,4.4 
31.0 ,1400.0 ,31.0 ,4.3 
31.0 ,1400.0 ,34.0 ,5.0 
31.0 ,1400.0 ,37.0 ,6.2 
31.0 ,1400.0 ,40.0 ,6.6 
31.0 ,1400.0 ,43.0 ,3.1 
31.0 ,1400.0 ,46.0 ,1.4 
31.0 ,1400.0 ,49.0 ,2.8 
31.0 ,1700.0 ,4.0 ,3.1 
31.0 ,1700.0 ,7.0 ,2.4 
31.0 ,1700.0 ,10.0 ,3.7 
31.0 ,1700.0 ,13.0 ,4.7 
31.0 ,1700.0 ,16.0 ,2.0 
31.0 ,1700.0 ,19.0 ,2.9 
31.0 ,1700.0 ,22.0 ,4.1 
31.0 ,1700.0 ,25.0 ,4.4 
31.0 ,1700.0 ,28.0 ,4.3 
31.0 ,1700.0 ,31.0 ,5.0 
31.0 ,1700.0 ,34.0 ,6.2 
31.0 ,1700.0 ,37.0 ,6.6 
31.0 ,1700.0 ,40.0 ,3.1 
31.0 ,1700.0 ,43.0 ,1.4 
31.0 ,1700.0 ,46.0 ,2.8 
31.0 ,2000.0 ,4.0 ,2.6 
31.0 ,2000.0 ,7.0 ,3.7 
31.0 ,2000.0 ,10.0 ,4.7 
31.0 ,2000.0 ,13.0 ,3.0 
31.0 ,2000.0 ,16.0 ,3.6 
31.0 ,2000.0 ,19.0 ,4.5 
31.0 ,2000.0 ,22.0 ,4.9 
31.0 ,2000.0 ,25.0 ,4.9 
31.0 ,2000.0 ,28.0 ,5.9 
31.0 ,2000.0 ,31.0 ,6.8 
31.0 ,2000.0 ,34.0 ,6.8 
31.0 ,2000.0 ,37.0 ,3.0 
31.0 ,2000.0 ,40.0 ,1.8 
31.0 ,2000.0 ,43.0 ,2.3 
31.0 ,2000.0 ,46.0 ,2.0 
31.0 ,2000.0 ,49.0 ,1.4 
31.0 ,2000.0 ,52.0 ,1.4 
31.0 ,2000.0 ,55.0 ,2.6 
31.0 ,2000.0 ,58.0 ,3.4 
31.0 ,2000.0 ,61.0 ,1.2 
31.0 ,2000.0 ,64.0 ,2.8 
31.0 ,2000.0 ,67.0 ,2.9 
31.0 ,2300.0 ,4.0 ,3.7 
31.0 ,2300.0 ,7.0 ,4.7 
31.0 ,2300.0 ,10.0 ,3.0 
31.0 ,2300.0 ,13.0 ,3.6 
31.0 ,2300.0 ,16.0 ,4.5 
31.0 ,2300.0 ,19.0 ,4.9 
31.0 ,2300.0 ,22.0 ,4.9 
31.0 ,2300.0 ,25.0 ,5.9 
31.0 ,2300.0 ,28.0 ,6.8 
31.0 ,2300.0 ,31.0 ,6.8 
31.0 ,2300.0 ,34.0 ,3.0 
31.0 ,2300.0 ,37.0 ,1.8 
31.0 ,2300.0 ,40.0 ,2.3 
31.0 ,2300.0 ,43.0 ,2.0 
31.0 ,2300.0 ,46.0 ,1.4 
31.0 ,2300.0 ,49.0 ,1.4 
31.0 ,2300.0 ,52.0 ,2.6 
31.0 ,2300.0 ,55.0 ,3.4 
31.0 ,2300.0 ,58.0 ,1.2 
31.0 ,2300.0 ,61.0 ,2.8 
31.0 ,2300.0 ,64.0 ,2.9 
,,,
1.0 ,200.0 ,4.0 ,4.7 
1.0 ,200.0 ,7.0 ,3.0 
1.0 ,200.0 ,10.0 ,3.6 
1.0 ,200.0 ,13.0 ,4.5 
1.0 ,200.0 ,16.0 ,4.9 
1.0 ,200.0 ,19.0 ,4.9 
1.0 ,200.0 ,22.0 ,5.9 
1.0 ,200.0 ,25.0 ,6.8 
1.0 ,200.0 ,28.0 ,6.8 
1.0 ,200.0 ,31.0 ,3.0 
1.0 ,200.0 ,34.0 ,1.8 
1.0 ,200.0 ,37.0 ,2.3 
1.0 ,200.0 ,40.0 ,2.0 
1.0 ,200.0 ,43.0 ,1.4 
1.0 ,200.0 ,46.0 ,1.4 
1.0 ,200.0 ,49.0 ,2.6 
1.0 ,200.0 ,52.0 ,3.4 
1.0 ,200.0 ,55.0 ,1.2 
1.0 ,200.0 ,58.0 ,2.8 
1.0 ,200.0 ,61.0 ,2.9 
1.0 ,500.0 ,4.0 ,3.0 
1.0 ,500.0 ,7.0 ,3.6 
1.0 ,500.0 ,10.0 ,4.5 
1.0 ,500.0 ,13.0 ,4.9 
1.0 ,500.0 ,16.0 ,4.9 
1.0 ,500.0 ,19.0 ,5.9 
1.0 ,500.0 ,22.0 ,6.8 
1.0 ,500.0 ,25.0 ,6.8 
1.0 ,500.0 ,28.0 ,3.0 
1.0 ,500.0 ,31.0 ,1.8 
1.0 ,500.0 ,34.0 ,2.3 
1.0 ,500.0 ,37.0 ,2.0 
1.0 ,500.0 ,40.0 ,1.4 
1.0 ,500.0 ,43.0 ,1.4 
1.0 ,500.0 ,46.0 ,2.6 
1.0 ,500.0 ,49.0 ,3.4 
1.0 ,500.0 ,52.0 ,1.2 
1.0 ,500.0 ,55.0 ,2.8 
1.0 ,500.0 ,58.0 ,2.9 
1.0 ,800.0 ,4.0 ,3.7 
1.0 ,800.0 ,7.0 ,4.3 
1.0 ,800.0 ,10.0 ,4.7 
1.0 ,800.0 ,13.0 ,5.1 
1.0 ,800.0 ,16.0 ,6.1 
1.0 ,800.0 ,19.0 ,7.1 
1.0 ,800.0 ,22.0 ,6.8 
1.0 ,800.0 ,25.0 ,3.0 
1.0 ,800.0 ,28.0 ,1.3 
1.0 ,800.0 ,31.0 ,1.6 
1.0 ,800.0 ,34.0 ,2.9 
1.0 ,800.0 ,37.0 ,2.4 
1.0 ,800.0 ,40.0 ,2.4 
1.0 ,800.0 ,43.0 ,1.5 
1.0 ,800.0 ,46.0 ,2.5 
1.0 ,800.0 ,49.0 ,1.2 
1.0 ,800.0 ,52.0 ,2.1 
1.0 ,800.0 ,55.0 ,3.0 
1.0 ,1100.0 ,4.0 ,4.3 
1.0 ,1100.0 ,7.0 ,4.7 
1.0 ,1100.0 ,10.0 ,5.1 
1.0 ,1100.0 ,13.0 ,6.1 
1.0 ,1100.0 ,16.0 ,7.1 
1.0 ,1100.0 ,19.0 ,6.8 
1.0 ,1100.0 ,22.0 ,3.0 
1.0 ,1100.0 ,25.0 ,1.3 
1.0 ,1100.0 ,28.0 ,1.6 
1.0 ,1100.0 ,31.0 ,2.9 
1.0 ,1100.0 ,34.0 ,2.4 
1.0 ,1100.0 ,37.0 ,2.4 
1.0 ,1100.0 ,40.0 ,1.5 
1.0 ,1100.0 ,43.0 ,2.5 
1.0 ,1100.0 ,46.0 ,1.2 
1.0 ,1100.0 ,49.0 ,2.1 
1.0 ,1100.0 ,52.0 ,3.0 
1.0 ,1400.0 ,4.0 ,4.7 
1.0 ,1400.0 ,7.0 ,5.1 
1.0 ,1400.0 ,10.0 ,6.1 
1.0 ,1400.0 ,13.0 ,7.1 
1.0 ,1400.0 ,16.0 ,6.8 
1.0 ,1400.0 ,19.0 ,3.0 
1.0 ,1400.0 ,22.0 ,1.3 
1.0 ,1400.0 ,25.0 ,1.6 
1.0 ,1400.0 ,28.0 ,2.9 
1.0 ,1400.0 ,31.0 ,2.4 
1.0 ,1400.0 ,34.0 ,2.4 
1.0 ,1400.0 ,37.0 ,1.5 
1.0 ,1400.0 ,40.0 ,2.5 
1.0 ,1400.0 ,43.0 ,1.2 
1.0 ,1400.0 ,46.0 ,2.1 
1.0 ,1400.0 ,49.0 ,3.0 
1.0 ,1700.0 ,4.0 ,5.1 
1.0 ,1700.0 ,7.0 ,6.1 
1.0 ,1700.0 ,10.0 ,7.1 
1.0 ,1700.0 ,13.0 ,6.8 
1.0 ,1700.0 ,16.0 ,3.0 
1.0 ,1700.0 ,19.0 ,1.3 
1.0 ,1700.0 ,22.0 ,1.6 
1.0 ,1700.0 ,25.0 ,2.9 
1.0 ,1700.0 ,28.0 ,2.4 
1.0 ,1700.0 ,31.0 ,2.4 
1.0 ,1700.0 ,34.0 ,1.5 
1.0 ,1700.0 ,37.0 ,2.5 
1.0 ,1700.0 ,40.0 ,1.2 
1.0 ,1700.0 ,43.0 ,2.1 
1.0 ,1700.0 ,46.0 ,3.0 
1.0 ,2000.0 ,4.0 ,5.5 
1.0 ,2000.0 ,7.0 ,6.2 
1.0 ,2000.0 ,10.0 ,6.1 
1.0 ,2000.0 ,13.0 ,2.8 
1.0 ,2000.0 ,16.0 ,2.3 
1.0 ,2000.0 ,19.0 ,3.5 
1.0 ,2000.0 ,22.0 ,2.9 
1.0 ,2000.0 ,25.0 ,2.3 
1.0 ,2000.0 ,28.0 ,2.1 
1.0 ,2000.0 ,31.0 ,1.5 
1.0 ,2000.0 ,34.0 ,2.3 
1.0 ,2000.0 ,37.0 ,0.9 
1.0 ,2000.0 ,40.0 ,2.0 
1.0 ,2000.0 ,43.0 ,2.8 
1.0 ,2000.0 ,46.0 ,3.1 
1.0 ,2000.0 ,49.0 ,3.5 
1.0 ,2000.0 ,52.0 ,4.0 
1.0 ,2000.0 ,55.0 ,4.8 
1.0 ,2000.0 ,58.0 ,4.7 
1.0 ,2000.0 ,61.0 ,1.3 
1.0 ,2000.0 ,64.0 ,0.9 
1.0 ,2000.0 ,67.0 ,0.8 
1.0 ,2300.0 ,4.0 ,6.2 
1.0 ,2300.0 ,7.0 ,6.1 
1.0 ,2300.0 ,10.0 ,2.8 
1.0 ,2300.0 ,13.0 ,2.3 
1.0 ,2300.0 ,16.0 ,3.5 
1.0 ,2300.0 ,19.0 ,2.9 
1.0 ,2300.0 ,22.0 ,2.3 
1.0 ,2300.0 ,25.0 ,2.1 
1.0 ,2300.0 ,28.0 ,1.5 
1.0 ,2300.0 ,31.0 ,2.3 
1.0 ,2300.0 ,34.0 ,0.9 
1.0 ,2300.0 ,37.0 ,2.0 
1.0 ,2300.0 ,40.0 ,2.8 
1.0 ,2300.0 ,43.0 ,3.1 
1.0 ,2300.0 ,46.0 ,3.5 
1.0 ,2300.0 ,49.0 ,4.0 
1.0 ,2300.0 ,52.0 ,4.8 
1.0 ,2300.0 ,55.0 ,4.7 
1.0 ,2300.0 ,58.0 ,1.3 
1.0 ,2300.0 ,61.0 ,0.9 
1.0 ,2300.0 ,64.0 ,0.8 
2.0 ,200.0 ,4.0 ,6.1 
2.0 ,200.0 ,7.0 ,2.8 
2.0 ,200.0 ,10.0 ,2.3 
2.0 ,200.0 ,13.0 ,3.5 
2.0 ,200.0 ,16.0 ,2.9 
2.0 ,200.0 ,19.0 ,2.3 
2.0 ,200.0 ,22.0 ,2.1 
2.0 ,200.0 ,25.0 ,1.5 
2.0 ,200.0 ,28.0 ,2.3 
2.0 ,200.0 ,31.0 ,0.9 
2.0 ,200.0 ,34.0 ,2.0 
2.0 ,200.0 ,37.0 ,2.8 
2.0 ,200.0 ,40.0 ,3.1 
2.0 ,200.0 ,43.0 ,3.5 
2.0 ,200.0 ,46.0 ,4.0 
2.0 ,200.0 ,49.0 ,4.8 
2.0 ,200.0 ,52.0 ,4.7 
2.0 ,200.0 ,55.0 ,1.3 
2.0 ,200.0 ,58.0 ,0.9 
2.0 ,200.0 ,61.0 ,0.8 
2.0 ,500.0 ,4.0 ,2.8 
2.0 ,500.0 ,7.0 ,2.3 
2.0 ,500.0 ,10.0 ,3.5 
2.0 ,500.0 ,13.0 ,2.9 
2.0 ,500.0 ,16.0 ,2.3 
2.0 ,500.0 ,19.0 ,2.1 
2.0 ,500.0 ,22.0 ,1.5 
2.0 ,500.0 ,25.0 ,2.3 
2.0 ,500.0 ,28.0 ,0.9 
2.0 ,500.0 ,31.0 ,2.0 
2.0 ,500.0 ,34.0 ,2.8 
2.0 ,500.0 ,37.0 ,3.1 
2.0 ,500.0 ,40.0 ,3.5 
2.0 ,500.0 ,43.0 ,4.0 
2.0 ,500.0 ,46.0 ,4.8 
2.0 ,500.0 ,49.0 ,4.7 
2.0 ,500.0 ,52.0 ,1.3 
2.0 ,500.0 ,55.0 ,0.9 
2.0 ,500.0 ,58.0 ,0.8 
2.0 ,800.0 ,4.0 ,1.7 
2.0 ,800.0 ,7.0 ,3.8 
2.0 ,800.0 ,10.0 ,3.6 
2.0 ,800.0 ,13.0 ,2.5 
2.0 ,800.0 ,16.0 ,1.3 
2.0 ,800.0 ,19.0 ,2.1 
2.0 ,800.0 ,22.0 ,3.2 
2.0 ,800.0 ,25.0 ,1.1 
2.0 ,800.0 ,28.0 ,2.4 
2.0 ,800.0 ,31.0 ,2.6 
2.0 ,800.0 ,34.0 ,4.1 
2.0 ,800.0 ,37.0 ,4.1 
2.0 ,800.0 ,40.0 ,4.0 
2.0 ,800.0 ,43.0 ,4.6 
2.0 ,800.0 ,46.0 ,4.6 
2.0 ,800.0 ,49.0 ,0.9 
2.0 ,800.0 ,52.0 ,0.9 
2.0 ,800.0 ,55.0 ,0.4 
2.0 ,1100.0 ,4.0 ,3.8 
2.0 ,1100.0 ,7.0 ,3.6 
2.0 ,1100.0 ,10.0 ,2.5 
2.0 ,1100.0 ,13.0 ,1.3 
2.0 ,1100.0 ,16.0 ,2.1 
2.0 ,1100.0 ,19.0 ,3.2 
2.0 ,1100.0 ,22.0 ,1.1 
2.0 ,1100.0 ,25.0 ,2.4 
2.0 ,1100.0 ,28.0 ,2.6 
2.0 ,1100.0 ,31.0 ,4.1 
2.0 ,1100.0 ,34.0 ,4.1 
2.0 ,1100.0 ,37.0 ,4.0 
2.0 ,1100.0 ,40.0 ,4.6 
2.0 ,1100.0 ,43.0 ,4.6 
2.0 ,1100.0 ,46.0 ,0.9 
2.0 ,1100.0 ,49.0 ,0.9 
2.0 ,1100.0 ,52.0 ,0.4 
2.0 ,1400.0 ,4.0 ,3.6 
2.0 ,1400.0 ,7.0 ,2.5 
2.0 ,1400.0 ,10.0 ,1.3 
2.0 ,1400.0 ,13.0 ,2.1 
2.0 ,1400.0 ,16.0 ,3.2 
2.0 ,1400.0 ,19.0 ,1.1 
2.0 ,1400.0 ,22.0 ,2.4 
2.0 ,1400.0 ,25.0 ,2.6 
2.0 ,1400.0 ,28.0 ,4.1 
2.0 ,1400.0 ,31.0 ,4.1 
2.0 ,1400.0 ,34.0 ,4.0 
2.0 ,1400.0 ,37.0 ,4.6 
2.0 ,1400.0 ,40.0 ,4.6 
2.0 ,1400.0 ,43.0 ,0.9 
2.0 ,1400.0 ,46.0 ,0.9 
2.0 ,1400.0 ,49.0 ,0.4 
2.0 ,1700.0 ,4.0 ,2.5 
2.0 ,1700.0 ,7.0 ,1.3 
2.0 ,1700.0 ,10.0 ,2.1 
2.0 ,1700.0 ,13.0 ,3.2 
2.0 ,1700.0 ,16.0 ,1.1 
2.0 ,1700.0 ,19.0 ,2.4 
2.0 ,1700.0 ,22.0 ,2.6 
2.0 ,1700.0 ,25.0 ,4.1 
2.0 ,1700.0 ,28.0 ,4.1 
2.0 ,1700.0 ,31.0 ,4.0 
2.0 ,1700.0 ,34.0 ,4.6 
2.0 ,1700.0 ,37.0 ,4.6 
2.0 ,1700.0 ,40.0 ,0.9 
2.0 ,1700.0 ,43.0 ,0.9 
2.0 ,1700.0 ,46.0 ,0.4 
2.0 ,2000.0 ,4.0 ,1.3 
2.0 ,2000.0 ,7.0 ,2.1 
2.0 ,2000.0 ,10.0 ,3.2 
2.0 ,2000.0 ,13.0 ,1.1 
2.0 ,2000.0 ,16.0 ,2.4 
2.0 ,2000.0 ,19.0 ,2.6 
2.0 ,2000.0 ,22.0 ,4.1 
2.0 ,2000.0 ,25.0 ,4.1 
2.0 ,2000.0 ,28.0 ,4.0 
2.0 ,2000.0 ,31.0 ,4.6 
2.0 ,2000.0 ,34.0 ,4.6 
2.0 ,2000.0 ,37.0 ,0.9 
2.0 ,2000.0 ,40.0 ,0.9 
2.0 ,2000.0 ,43.0 ,0.4 
2.0 ,2000.0 ,46.0 ,0.7 
2.0 ,2000.0 ,49.0 ,0.9 
2.0 ,2000.0 ,52.0 ,1.6 
2.0 ,2000.0 ,55.0 ,2.9 
2.0 ,2000.0 ,58.0 ,4.2 
2.0 ,2000.0 ,61.0 ,1.4 
2.0 ,2000.0 ,64.0 ,1.6 
2.0 ,2000.0 ,67.0 ,1.5 
2.0 ,2300.0 ,4.0 ,2.1 
2.0 ,2300.0 ,7.0 ,3.2 
2.0 ,2300.0 ,10.0 ,1.1 
2.0 ,2300.0 ,13.0 ,2.4 
2.0 ,2300.0 ,16.0 ,2.6 
2.0 ,2300.0 ,19.0 ,4.1 
2.0 ,2300.0 ,22.0 ,4.1 
2.0 ,2300.0 ,25.0 ,4.0 
2.0 ,2300.0 ,28.0 ,4.6 
2.0 ,2300.0 ,31.0 ,4.6 
2.0 ,2300.0 ,34.0 ,0.9 
2.0 ,2300.0 ,37.0 ,0.9 
2.0 ,2300.0 ,40.0 ,0.4 
2.0 ,2300.0 ,43.0 ,0.7 
2.0 ,2300.0 ,46.0 ,0.9 
2.0 ,2300.0 ,49.0 ,1.6 
2.0 ,2300.0 ,52.0 ,2.9 
2.0 ,2300.0 ,55.0 ,4.2 
2.0 ,2300.0 ,58.0 ,1.4 
2.0 ,2300.0 ,61.0 ,1.6 
2.0 ,2300.0 ,64.0 ,1.5 
3.0 ,200.0 ,4.0 ,3.2 
3.0 ,200.0 ,7.0 ,1.1 
3.0 ,200.0 ,10.0 ,2.4 
3.0 ,200.0 ,13.0 ,2.6 
3.0 ,200.0 ,16.0 ,4.1 
3.0 ,200.0 ,19.0 ,4.1 
3.0 ,200.0 ,22.0 ,4.0 
3.0 ,200.0 ,25.0 ,4.6 
3.0 ,200.0 ,28.0 ,4.6 
3.0 ,200.0 ,31.0 ,0.9 
3.0 ,200.0 ,34.0 ,0.9 
3.0 ,200.0 ,37.0 ,0.4 
3.0 ,200.0 ,40.0 ,0.7 
3.0 ,200.0 ,43.0 ,0.9 
3.0 ,200.0 ,46.0 ,1.6 
3.0 ,200.0 ,49.0 ,2.9 
3.0 ,200.0 ,52.0 ,4.2 
3.0 ,200.0 ,55.0 ,1.4 
3.0 ,200.0 ,58.0 ,1.6 
3.0 ,200.0 ,61.0 ,1.5 
3.0 ,500.0 ,4.0 ,1.1 
3.0 ,500.0 ,7.0 ,2.4 
3.0 ,500.0 ,10.0 ,2.6 
3.0 ,500.0 ,13.0 ,4.1 
3.0 ,500.0 ,16.0 ,4.1 
3.0 ,500.0 ,19.0 ,4.0 
3.0 ,500.0 ,22.0 ,4.6 
3.0 ,500.0 ,25.0 ,4.6 
3.0 ,500.0 ,28.0 ,0.9 
3.0 ,500.0 ,31.0 ,0.9 
3.0 ,500.0 ,34.0 ,0.4 
3.0 ,500.0 ,37.0 ,0.7 
3.0 ,500.0 ,40.0 ,0.9 
3.0 ,500.0 ,43.0 ,1.6 
3.0 ,500.0 ,46.0 ,2.9 
3.0 ,500.0 ,49.0 ,4.2 
3.0 ,500.0 ,52.0 ,1.4 
3.0 ,500.0 ,55.0 ,1.6 
3.0 ,500.0 ,58.0 ,1.5 
3.0 ,800.0 ,4.0 ,2.0 
3.0 ,800.0 ,7.0 ,3.5 
3.0 ,800.0 ,10.0 ,4.6 
3.0 ,800.0 ,13.0 ,4.7 
3.0 ,800.0 ,16.0 ,4.8 
3.0 ,800.0 ,19.0 ,5.5 
3.0 ,800.0 ,22.0 ,5.2 
3.0 ,800.0 ,25.0 ,2.4 
